Primary Key,Area,Estimate Basis
Hanson2016_1259,67,Walls (Roman)
Hanson2016_1260,8,Inhabited area
Hanson2016_1261,30,Unspecified
Hanson2016_1262,47,Walls
Hanson2016_1264,18,Walls
Hanson2016_1265,5,Walls
Hanson2016_1267,30,Urban grid and walls
Hanson2016_1268,18,Inhabited area
Hanson2016_1269,51,Inhabited area
Hanson2016_1270,56,"Inhabited area, 860 by 650 m"
Hanson2016_1271,5,Inhabited area
Hanson2016_1272,48,Urban grid and walls
Hanson2016_1273,78,Walls
Hanson2016_1274,40,"Inhabited area, 1,000 by 400 m"
Hanson2016_1277,50,Inhabited area
Hanson2016_1278,60,Inhabited area
Hanson2016_1281,3,"Inhaibted area, 300 by 100 m"
Hanson2016_1282,46,Urban grid
Hanson2016_1283,23,Inhabited area
Hanson2016_1284,25,Walls
Hanson2016_1285,18,Walls
Hanson2016_1286,35,Inhabited area
Hanson2016_1288,63,Walls
Hanson2016_1291,9,"Inhabited area, 8 to 10 ha."
Hanson2016_1292,38,Urban grid and walls
Hanson2016_1293,60,Walls
Hanson2016_1294,211,Urban grid
Hanson2016_1297,125,Urban grid
Hanson2016_1298,131,Inhabited area?
Hanson2016_1300,18,Urban grid
Hanson2016_1303,17,Inhabited area
Hanson2016_1305,10,Walls
Hanson2016_1306,16,Urban grid
Hanson2016_1307,82,Walls
Hanson2016_1308,40,Walls
Hanson2016_1309,85,Walls
Hanson2016_1310,19,"Walls, but not acropolis"
Hanson2016_1312,67,Inhabited area
Hanson2016_1313,25,Urban grid
Hanson2016_1314,18,Inhabited area
Hanson2016_1316,36,Walls
Hanson2016_1318,33,Urban grid
Hanson2016_1319,15,Walls
Hanson2016_1320,296,Urbn grid
Hanson2016_1321,65,Walls
Hanson2016_1322,30,Urban grid and walls
Hanson2016_1323,100,Unspecified
Hanson2016_1324,399,"Walls of Theodosius II, Justinian, and topography"
Hanson2016_1325,243,"Urban grid, walls, and topography"
Hanson2016_1326,67,Walls
Hanson2016_1327,33,Unspecified
Hanson2016_1330,137,Urban grid and walls
Hanson2016_1333,72,Walls
Hanson2016_1334,131,Walls
Hanson2016_1337,77,Walls
Hanson2016_1338,220,Walls
Hanson2016_1340,120,Urban grid and walls
Hanson2016_1342,30,Acropolis and lower town
Hanson2016_1343,142,Walls
Hanson2016_1345,66,Unspecified
Hanson2016_1347,75,Unspecified
Hanson2016_1348,149,Inhabited area
Hanson2016_1349,186,"First Wall, Third Wall, and Extension"
Hanson2016_1350,90,Unspecified
Hanson2016_1351,9,Walls
Hanson2016_1352,8,Walls
Hanson2016_1353,52,Unspecified
Hanson2016_1354,40,Unspecified
Hanson2016_1355,117,Walls (Byzantine)
Hanson2016_1356,8,Unspecified
Hanson2016_1357,30,Unspecified
Hanson2016_1358,40,Unspecified
Hanson2016_1359,35,Walls
Hanson2016_1360,10,Unspecified
Hanson2016_1361,15,Unspecified
Hanson2016_1362,113,Walls
Hanson2016_1363,10,Inhabited area
Hanson2016_1365,76,Walls
Hanson2016_1366,141,Walls
Hanson2016_1367,60,Unspecified
Hanson2016_1368,40,Unspecified
Hanson2016_1369,26,Urban grid
Hanson2016_1371,31,Walls
Hanson2016_1375,155,Walls (Severan)
Hanson2016_1378,30,Walls
Hanson2016_1380,41,Urban grid and walls
Hanson2016_1381,57,Acropolis and lower town
Hanson2016_1382,202,Walls
Hanson2016_1383,22,Walls
Hanson2016_1385,78,Walls
Hanson2016_1386,26,Walls
Hanson2016_1387,84,Inhabited area
Hanson2016_1388,5,Walls
Hanson2016_28,95,Inhabited area
